,content,class,pred_class
994,I cant unistall,negative,negative
995,new notification menu is unnecessary and extremely irritating to work w,negative,neutral
996,GG,negative,positive
997,Loads of fun I would recommend people say inappropriate stuff pop's up it is completely untrue I would throuly recommend. Any age really but you have to put a higher age ❤️ if you are 12 and below 👇.,positive,negative
998,video viral plz 90+100 my video so cad plz viral,negative,positive
999,ভাইরাল,positive,positive
1000,TikTok,negative,positive
1001,Good app for entertainment,positive,positive
1002,Interesting,positive,positive
1003,it drains my battery so much but other than that it's good!,neutral,neutral
1004,Im duriad and I like this tiktok,negative,positive
1005,nice,positive,positive
1006,I am soo sad because I am not becoming popular,negative,negative
1007,Good,negative,positive
1008,I would rate this app 5 stars but it makes me install it every day but this app is very fun,neutral,neutral
1009,Hi TikTok video for you lima____jan786,negative,positive
1010,Funny,neutral,positive
1011,Yes it ok.....?..but not safe,negative,neutral
1012,Tamjid ahmed 60,negative,negative
1013,Nc,positive,positive
1014,Good,positive,positive
1015,Why am I not able to save videos to my mobile to share them with my friends?? Since the new update you guys removed that option..,neutral,negative
1016,Good,positive,positive
1017,Helpful,negative,positive
1018,It's very great because my daughter can watch and get modeling tutorials,positive,positive
1019,So. Every time i download a video. The video crashes and it wont go past a certain point (the download) and i have a problem with this. I mean you never used to have these problems. I feel like you're making tiktok worse and worse. Maybe ask us what we want. Like idk tiktok not crashing,negative,negative
1020,Nice app,positive,positive
1021,Bk jan365,negative,positive
1022,Please Tik Tok team viral my account trending my video please help for me. Saleemjutt-72,positive,positive
1023,Nice one,positive,neutral
1024,3w2,negative,negative
1025,"Worst app I've ever seen. Just download Likee it works much better and will actually let you create an account! I cant even create my first account.. I've emailed tiktok support and its been a day? They havent emailed me back, and wont help me! Dont download this app my friends told me to try it and they got banned a few weeks later for drawing a face? That's actually stupid! They dont even tell you why you were banned or let you create another account. DONT DOWNLOAD.",negative,negative
1026,Uas,positive,negative
1027,Brain rot,negative,negative
1028,I love tiktok,positive,positive
1029,Good,positive,positive
1030,Always fun to make the videos and watch them 10/10,positive,positive
1031,Aashikabista,positive,negative
1032,TikTok is strictly enjoyment😁😁😁,positive,positive
1033,"This app is so trash, it's full of inappropriately dressed weirdo chavvy teenagers and it makes me sick this app is full of the weirdest weirdos I've ever seen it's so cringe as well. Don't download unless you want to die of cringe",negative,negative
1034,love you TikTok,negative,negative
1035,Really so appreciate 🤗,positive,positive
1036,বিপুল,negative,positive
1037,Great app,positive,positive
1038,Be a good online app,negative,positive
1039,Great,positive,positive
1040,I love tiktok alot,positive,positive
1041,❤❤,negative,positive
1042,Dumb,negative,negative
1043,Nice 😉,negative,positive
1044,ঈদ,negative,positive
1045,UU,positive,positive
1046,Supper,positive,negative
1047,Aaaaaaaaàaaaàssssss o,negative,positive
1048,the notifications are broken,negative,negative
1049,Shahzeb,negative,negative
1050,Its good so far,positive,positive
1051,Open my live or I will uninstall tiktok 😠😠😠😠😠😡😡😡😡😡😡😡,negative,negative
1052,Good apps,positive,positive
1053,It's slow nd frausting,negative,negative
1054,..so many things wrong with this app 1. Copied vine 2. Keeps innapropiate videos up but not other videos 3. It's really aditictive 4. Removed the word gacha due to old gacha heats 5. This used to be a dancing app now all over my fyp that doesn't even relate too me is fairies wars fake depression kids 6. The updates are really not that great.. 7. Drafts are getting deleted now due to updates and y'all won't fix that bug 8. Banned people due to being a FP Kinda disappointed tik tok..,negative,negative
1055,Love this app Alot of drama going on here but I stay away from all of it,positive,neutral
1056,"I'm having some issues with the app, I can't see some filters anymore and new updates don't work, please fix this...",neutral,neutral
1057,Nice app,positive,positive
1058,Very nice nice,negative,positive
1059,Good.,positive,positive
1060,Very good app 👌 👍 👍 very intresting,positive,positive
1061,I've randomly lost around 20 followers on my account and this is happening to lots of my friends please fix,neutral,negative
1062,First like my video 😤,positive,negative
1063,Benjamin sekyi,positive,negative
1064,mobisaver this app,negative,positive
1065,Nice,positive,positive
1066,Can u guys put back the old version the new version is pathetic we don't want pic and stories,negative,negative
1067,A Biased Algorithm. You'll see.,negative,negative
1068,BAAAD VERY BAAAD!!!!!!,negative,negative
1069,So fast,positive,negative
1070,Wow great app,positive,positive
1071,We get more enjoy on tiktok,positive,positive
1072,1000000000000000000000000000000000 0000,negative,negative
1073,😈😈😈,negative,positive
1074,I don't know to talk is the best in my I have 100k want to talk so you get a five stars,positive,neutral
1075,No weiwes no comment no likes ?,positive,negative
1076,I'm mad.i had 4 tiktok accounts I had alot of progress and I just updated it now it won't let me open the app this is annoying,negative,negative
1077,Super duper sub se upper,positive,positive
1078,Supr tiktok,neutral,negative
1079,please give me all temperate,positive,neutral
1080,Is it just me or does everytime TikTok updates it just gets worse . TikTok was okay before this new update. TikTok is now like any other app. TikTok was meant for videos not to be able to post on your story and stuff. It doesn't even make sense . People aren't just gonna wanna see pictures on their fyp,negative,negative
1081,It is very useful app,negative,negative
1082,Love it MR BMW South Africa sais go for it,positive,positive
1083,I love this app!!!!,positive,positive
1084,تمم يقلبي,neutral,negative
1085,"For a few months now, I have not been able to hear the volume when creating drafts. This obviously makes it pretty hard to make content! It also stopped letting me upload videos created by my movie editor app, which gave me more freedom than editing with TikTok. Other than that I love watching other people's stuff, but I'd like to make my own as well.",negative,neutral
1086,I am very like,negative,positive
1087,👍,positive,positive
1088,Tiktok is easier to use The end,negative,neutral
1089,Best app and fun 😋😋😍😍😍🤮🤮😘😘😘🤮😍🤮🤫😘😘😘😄😃🤣😃😃😃😃😃😃😃😎😎😎😎😎😎😎,negative,positive
1090,Vary too ecelent,positive,negative
1091,I can't do transitions. Once u stop recording it takes u right to posting and when u try to go back to add more it just deletes it,negative,negative
1092,Good,positive,positive
1093,It is what helps me,positive,positive
1094,Make my videos go viral that's my wish 🙏,positive,positive
1095,Nice,positive,positive
1096,"Since last update 3/25/22, I can't shut off captions. Touching them on the screen doesn't respond, just pauses the video. And turning them off through the Accessibility option does nothing.",negative,negative
1097,I love this aap plzzz unfreeze my account,positive,positive
1098,I can't shere videos to my friends,negative,negative
1099,😒🔨,negative,positive
1100,👌,neutral,positive
1101,Great app,positive,positive
1102,It's fine just making me Lokey lazy,negative,positive
1103,It's a good app the only issue is that it updates really slow to the point where I can't pin stuff cuz of how slow it updates,neutral,neutral
1104,It's so easy to use,negative,positive
1105,Absolutely garbage and dry. It's quite frankly bland. Where's the flavor?,negative,negative
1106,I cant send videos to friends.,neutral,negative
1107,👌,negative,positive
1108,برنامج يضلم العربين من الدعم الفني الدعم الفني عندهم غبي مررره,negative,negative
1109,My account has been stucked! I mean i am unable to get views and followers 😭 worst experience with tiktok!!,neutral,negative
1110,ofc i love tt ykyk but ffs bro get rid of the profile viewers update i cant stalk ppl or do anythin now bruhh SOMEONE FROM MY SCHOOL FOUND MY ACC BC I ACCIDENTLY CLICKED THERES,neutral,neutral
1111,Nice aap,neutral,positive
1112,🌺🌺🌺 it’s very nice apps... I like it ❤️....,negative,neutral
1113,It's good and fun,positive,positive
1114,Bad,negative,negative
1115,When I open inbox on my account it won't show the paper airplane to let me text people I deleted the app and re download it nothing worked pls help 🥺,neutral,negative
1116,Great,positive,positive
1117,This app always bans me tiktok did ban me 3 times,negative,negative
1118,Y'all keep banning my account bc of minor safety.. When I'm doing nothing wrong I'm not using drugs or doing anything in my videos but lip syncing or dancing and my cloths are appropriate... I am of age and y'all needa stop being so strict on community guidelines.. It's not fair they people have to keep going through this and their account is always being banned bc their not doing anything...,negative,negative
1119,Sara khusra jama hou Titok tha,neutral,negative
1120,It's a waste of time,negative,negative
1121,Very nice,positive,positive
1122,It's so FUNNY I get to see all my favorite content made for me!,positive,positive
1123,It's lit,positive,neutral
1124,Song,negative,negative
1125,Nice app,negative,positive
1126,Best app in the world,positive,positive
1127,Easy and fun to use,positive,positive
1128,The App is fantastic.,positive,negative
1129,See my follower 30000 no my video for you is my video best no my video for you is my video views 150 200 please help me Tik Tok live Tik Tok my video viral please,negative,positive
1130,Feeling to much,negative,neutral
1131,Good,negative,positive
1132,best app for showing emotions on social media,positive,neutral
1133,সবায় সাপট করবেন,positive,positive
1134,Informative plan and diverse in terms of content.some for every one.you can also create content as well.Great media platform,positive,positive
1135,Oooooo so good application with fun,positive,positive
1136,Go ela Na,negative,neutral
1137,The new update setup is unnecessary. Pls return it back to the way it was before!!!,negative,negative
1138,Total time wasting,negative,negative
1139,Good,positive,positive
1140,Great fatherless children meeting app,negative,positive
1141,His app is best of my life,negative,negative
1142,I love the app,positive,positive
1143,Good app,positive,positive
1144,Great entertainment,negative,positive
1145,It's good,positive,positive
1146,it banned my account 5 times this month I checked the comunaty guidelines and I did nothing every time tik tok please fix this,negative,negative
1147,Very Nice app I'm Give Me 5 ⭐,positive,positive
1148,Hi TikTok team Mary views 100 see com aatay Hay please views problem 1000 kar do May Dali user ho Mary followers 9500 Hay ilove you TikTok team sir may viral hona cahta ho please sir All problem solved kar do Mari sir Allah pak ap ko Khush rakhe amen sir Mari har video my 100 views aatay sir Mari I'd ka name Hay noorulhassanofficial0 please sir views 1000 Kar do love you ho Gaya TikTok please help me sir May Dali video upload karta ho sar mere views badhaye please help me,negative,negative
1149,they suspended me for no reason,negative,negative
1150,Goood,positive,negative
1151,TikTok video are cool,positive,positive
1152,Thanks bro,negative,positive
1153,Df,negative,positive
1154,Love this App,positive,positive
1155,Wayy too addicting...,neutral,negative
1156,"You learn about more things music,school,art all things that you need to learn",neutral,positive
1157,๔єคгกīใ ๏กє ฬђ๏ ς๔ค๓ ђī๓ รє๔ғ ใ๏♩ ұ๏ม ใคⅴє ๓є ςђคใєใīกใ ♩๏в ฬ๏ก♩г...,neutral,neutral
1158,Nice app,neutral,positive
1159,Better,negative,positive
1160,Wooweo,negative,positive
1161,Downloading not,neutral,negative
1162,My videos not viral no foryou,positive,positive
1163,Gg,negative,negative
1164,ওয়াও খুব সুন্দর 👍👍👍😀😃,negative,neutral
1165,"Great app, but annoying. Can't use most of the filters, has a 10k follow cutoff, and captions are always on even though I turn them off",positive,neutral
1166,"I was wrong, the update took it back to the ugly look 😡😡😡",negative,negative
1167,❤️❤️,neutral,positive
1168,Cool and interesting app,positive,positive
1169,Why is that for Android phone we can't upload hd videos plz fix that and give it five stars,neutral,negative
1170,Awesome and still in the learning process,positive,neutral
1171,It's good to me and my friends,negative,positive
1172,Super,positive,positive
1173,This is amazing,negative,positive
1174,Sir I have 1887 follelwer and I am posting my best vadios but the views are not coming more than 120 of my vadios are going viral please,negative,negative
1175,I got banned for no reason it was an awsome app but i got banned for no reason i was so close to 1000 likes and 80 followers but it said i vialated communtiy guid lines when i didnt and now it wont let me make another account,negative,negative
1176,Great app,positive,positive
1177,❤️❤️👑,negative,positive
1178,Love it 😍😍😍😍😍💋,positive,negative
1179,Good,positive,positive
1180,دڈدد,negative,positive
1181,Thanks TikTok family,negative,positive
1182,Fine,negative,positive
1183,bad app it is addictive,negative,negative
1184,I love this app,negative,positive
1185,It's the best Media app i have ever come across,positive,positive
1186,Nice app,negative,positive
1187,Birjesh Kumar Jaiswal,negative,neutral
1188,Nice,positive,positive
1189,হহহ,positive,negative
1190,Dear TikTok tame check my account check my video plz viral check my followers 17 k I have need like view plz help,negative,negative
1191,Good,positive,positive
1192,Ii,negative,negative
1193,Wow,positive,positive
1194,I love you this apps to a entertainment and happy 🥰💓💓💓💓💓💓,neutral,positive
1195,Videos do not play. First they were sluggish so i uninstalled and reinstalled. I can sign in but all i get is the logo. Anyone else besides me having this problem?,negative,negative
1196,Nic app,positive,positive
1197,Happy,negative,positive
1198,Bad,negative,negative
1199,Farazkhan,negative,negative
1200,I wanna ridee,positive,positive
1201,Very good app,positive,positive
1202,"What on earth is this new update, now I can't even go into other peoples lives because their live just freezes also maybe its time for you to start fallowing your own community guidelines and stop banning the victims and ban the bullies and those who actually break the rules",negative,negative
1203,Love it 😊😊,negative,negative
1204,"They have banned my account for not having the necessary age which is a lie because I totally pass that number, and I can't recover it.",negative,negative
1205,Good app,negative,positive
1206,حظر وانتهاكات المجتمع بدون سبب مقنع وأسباب اخري,negative,negative
1207,This app sometimes it doesn't play even when the data or Wi-Fi is on,negative,negative
1208,I dont appteciatecyou selling my personal pictures and thoughts ur as bad as facebooktour all going to hell,negative,negative
1209,Very expensive,negative,positive
1210,bagerati,negative,negative
1211,Bad app,negative,negative
1212,L love tiktok,negative,positive
1213,Very nice,positive,positive
1214,Best entertainment,positive,negative
1215,This app is so good make videos chat whith your frenides 5 stars,negative,positive
1216,"This app steals your privacy, it even admits that they will try and take as much as info about you as possible in the terms and conditions. Tiktok is so popular because of how the human mind works. There is something called Dopamine and it is what gets you addicted to anything, in this Tiktok. This app feasts on the flaws of human psychology. It is destroying the youth as we speak, it has greatly helped reduce the attention span of people specifically the youth. This app must be stopped.",negative,negative
1217,It is a good app i ever seen thanks,positive,neutral
1218,Tiktok is really good,positive,positive
1219,I got blocked but I did nothing,negative,negative
1220,ফালতো একটা,positive,positive
1221,i love tik tok but some of the best videos i can't get to save.However it is not my phone please look up .,positive,positive
1222,I love tiktok but their was a problem my video are not viral and didn't get more likes please tiktok team viral my videos,negative,negative
1223,good,positive,positive
1224,can't upload vids in HD 😡😡,negative,negative
1225,"Add Spam Prevention & Age Restrictions! The recent waves of comments like ""story time"", ""crop"", and random recipes is souring the user experience. It's on every video and it makes the app unenjoyable.",negative,negative
1226,Great experience,positive,positive
1227,This app was so excited,negative,positive
1228,timewasting app,negative,positive
1229,Need apps,positive,neutral
1230,This app is bad our happy girls happy sisters account is banned 😠😡😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡,negative,negative
1231,Hi there Thanks for contacting tiktok We understand how important your account is to you.after further review your account @abdullahjanofficail will remain permnently baned due to a violition of your adult dult and sexual activities policy. Plz note that your comunity guidline aply to both public and privite videos.as well as hastag and link to third party Websit. for further information on your account violition plz refrence your comunity guidlines However about your account @abdullahjanoffical,negative,negative
1232,Problem solve my account,negative,positive
1233,Exlianat...,positive,positive
1234,Good shows,neutral,positive
1235,Shani boss 512,positive,negative
1236,Stupid,negative,negative
1237,You gave my old phone screen burn with your bright white permanent 'plus button' add a dark mode or allow me to hide it you cowards,neutral,negative
1238,It's a nice app cool app but I have a account on tiktok because I am a tiktoker and now I can't upload any on my account don't know why please do something unfreeze my account my account is sheikhs745 that's my tiktok account please,neutral,neutral
1239,"It's the best stress reliever, I like it",positive,positive
1240,If you got a political affiliation other than Democrat you are going to be banned or shadow banned they don't believe in the freedom of speech..,negative,negative
1241,Thanksjusess,neutral,positive
1242,Me,neutral,positive
1243,Tik Tok,negative,negative
1244,Agmed application,positive,negative
1245,Very easy to use able and editing,positive,positive
1246,Keep up the great job,positive,positive
1247,Good,negative,positive
1248,Patta,neutral,negative
1249,AARON MOODY HARRY BIRTHDAY,positive,negative
1250,Please Mera video viral kado,positive,negative
1251,Good app otp,positive,neutral
1252,Loveing this app I think am addicted to it,positive,positive
1253,Video vaira koro,positive,positive
1254,"Fyp broken, need to be able to reset the algorithm Videos I'm shown are trash, no amount of clicking not interested changes it Uninstalled",negative,negative
1255,Not sure am new here,negative,neutral
1256,I love it,negative,positive
1257,Please Tik Tok team I am posting block video please help check the my account bro no video by please,negative,negative
1258,I love tiktok,positive,positive
1259,Good companion,neutral,positive
1260,So awesome 👌,positive,positive
1261,Tiktok why my videos are not uplaoding in tiktok please fix it,negative,negative
1262,"Am giving a star cause I got blocked because I say ( اللهم زد وبارك) Wich is my god bless you with more , how is that violet guide lines?",negative,neutral
1263,Keysar,negative,positive
1264,"Lost numerous features like being able to look at people's playlists, ""hide videos with this sound"" doesn't work at all as I'm still getting my fyp flooded with a particular sound and I've missed a lot of videos because it doesn't ask when you try to refresh fyp. This app has been all over the place. Only using it to follow my favorite creators, but even then they're getting banned because people who don't like their content mass report them, which can't be fought. Get it together.",negative,neutral
1265,love tiktok,positive,positive
1266,I like tiktok,positive,negative
1267,Easy,positive,positive
1268,It's good but you focus to much on my god dam storage like I DELETED EVERYTHING AND THAT AIN'T ENOUGH UGH!,negative,neutral
1269,Its a good app,positive,positive
1270,This app is good but my videos not viral i dont no why can u viral my videos VIKING GAMING YT,positive,negative
1271,🤣🤣🤣,positive,positive
1272,I Am very enjoying the app 😊 Amazing App,positive,negative
1273,My experince is edit videos. Thank you,negative,positive
1274,Good soptoiar,positive,positive
1275,Nice app,positive,positive
1276,I did in fact not violate any guidelines but my account was still banned. I will email tiktok about this,negative,negative
1277,Please viral may videos,positive,positive
1278,"New feature, story, not working properly, some filters don't work at all.. creator content barely gets pushed",negative,negative
1279,Cannot send friend request after it's new update,negative,negative
1280,Acha ha bht,positive,negative
1281,It's cool and very aesthetic and it's very beautiful how the creators expresse themselves to the app,positive,positive
1282,One day all three of my tik tok accounts got banned and one was from 2016 but that's not the worst part it won't let me make anew one it says temporary suspended and when I have a friend make one as soon as I log in it bans it so I'm not having a good experience update on March 29th 2022 this still has not changed,negative,negative
1283,Live notifications are unreliable. You miss the lives because notifications work about 10% of the time.,negative,negative
1284,😍😍😍,positive,positive
1285,Awesome love it,positive,positive
1286,I love it is a good app,positive,positive
1287,Yan app bani achi han apna dil lag jata sara din aram sa gozar jata apka thank you ❤️❤️,neutral,negative
1288,It's good to connect with others,positive,positive
1289,💟💟,negative,positive
1290,Where the heck are all of my videos people for the past week absolutely everything that I've Uploaded has gotten to a 100% and then disappeared from existence no one else that I know is dealing with this And I wanna know what the heck is going on,neutral,negative
1291,I'm leaving. Too many aggressive russians animals!,negative,negative
1292,Tiktok is most viral platfrom and it's very good platform... 👏👏👏👏👏🤟🤟,negative,positive
1293,"I love the app, but the updates. Some are really nice but others not so much. In my opinion I do not like the updates with the drafts on time it'll be the normal next it'll be something different then normal again and then next updates to something different and when you go to finish a sound, the sound is completely removed just don't like this new update. I would like it to be the original way because in my opinion, that was better. Edit* they updated again honestly just about to delete the app",negative,neutral
1294,Tiktok is a good app I like making two tiktok,positive,negative
1295,This app is best but as videos are repeated time to time there is the problem of knowing the actual time of uploading videos because eof some important news are also uploaded on tiktok by many tiktoker this creating the cohfus lon on past and present now so I woht tnefun ction of showing time of uploading of video on tiktok to clear the confusion please,negative,negative
1296,Good app,positive,positive
1297,𝑰 𝒍𝒊𝒌𝒆 𝒕𝒊𝒌 𝒕𝒐𝒌,positive,positive
1298,Not getting new update features on some my profiles and other I do,negative,neutral
1299,I 😍 this app,positive,positive
1300,"Got a new phone, now I can't log in ""too many attempts, try again later"" like bruh fix your app",negative,neutral
1301,"after the unbane tiktok in Pakistan my account is not open, and tiktok said couldn't reset password why",negative,negative
1302,You were you,negative,positive
1303,Love it,positive,positive
1304,Is tik tok good ok bay abri wane one tik tok,negative,positive
1305,Some content is ok but theres too many kids doing stupid trends,positive,neutral
1306,Perfect app if you like watching idiots copying other idiots. Killing a whole generations originality and imagination,negative,negative
1307,App ta onk valo,neutral,negative
1308,It's a good app indeed and is enjoyable,positive,positive
1309,My tiktok I'd freez problem,positive,negative
1310,"I've voted this app a one sees its impossible to give it 0 this is the worst app in the world it is addictive, it has sh and sa it mentions rape and grooming and all together I highly addictive to adults and children",negative,negative
1311,I like this app,positive,positive
1312,Vere Nice Tes App,positive,positive
1313,Nice,negative,positive
1314,Butt cheeks,negative,negative
1315,"This app wont let me on after the new update, deleting probably.",negative,negative
1316,good but need improvement,negative,neutral
1317,Tik too😈😎😎😎💦🤟,negative,negative
1318,I'M UNABLE TO RESET THE PASSWORD! TIKTOK GIVES ERROR MESSAGE UNRECOGNIZED DEVICE! NOT EVEN THE PHONE NUMBER WORKS! THESE MODERATORS ARE BANNING THE USERS FOR NO REASON TOO! IM CLOSE TO QUITING TIKTOK TOO BORING ANYWAYS,negative,negative
1319,Not bad,neutral,negative
1320,Mainly Used App,positive,positive
1321,The app is so nice,positive,neutral
1322,This app is not installing on my device i tried a 100 but it is not install8ng ni my device plz get it fixed,negative,negative
1323,❤❤,negative,positive
1324,Good..,negative,negative
1325,I can't sign up for TikTok . And waiting for your feedback from last 5 days and still no response .,negative,negative
1326,Bro this app used to be so good but they're ruining it with these dumb updates :/ I'm not trying to be rude but these updates suck. I really just don't like how they're changing how everything looks and is.. please change the things back tiktok :( tiktok was better before all these updates. :/,neutral,negative
1327,Good foor time pass,positive,positive
1328,This is on god a cypher weapon. Look what happened to my generation. 💀💀,negative,negative
1329,GREAT,positive,positive
1330,Time consuming,negative,negative
1331,this app have fun,negative,positive
1332,Nothing to complain about,positive,neutral
1333,Please change my Inbox back to the original format. Those is not a messaging app.,negative,negative
1334,For you,negative,negative
1335,It's alright but there so many cringey people,positive,neutral
1336,Its a bad app bruh it banded me for no reason dont get ot its a bad app 1 star rate.,negative,negative
1337,I can't follow a user or even follow back a user who followed me This is making me so annoyed😤😤 I am beginning to hate tiktok,negative,negative
1338,It was really great for intertaintment,negative,positive
1339,This apps is very good,positive,negative
1340,@Asif0000911 interest of people goes to an end no views no likes no followers tik tok going back in stone world every one leaving tik tok.,negative,positive
1341,"Good app but evey time I close the app and reopen it there is only a for you page and not a for you and following page and it is making me mad that I am.stuck watching For you and not the people I am following, the only way I get back the following is from clear the data or Uninstalling the app and I don't want to have to do this every time I want to watch the following",negative,negative
1342,"This app, likes to gem but it is not bad I give it Tgssntn assess refresh latte err express Janna hall app tgjnsjnlullljjjjjjjjhhddd",negative,positive
1343,Ahamad adamu,negative,neutral
1344,It's fun,positive,positive
1345,Very nice and a useful app,negative,positive
1346,Good app for content creation,positive,positive
1347,Have never used,neutral,negative
1348,Worst app ever,negative,negative
1349,"Very bad and racist app, you will be banned from posting in the simplest things",negative,negative
1350,Good,positive,positive
1351,"Nice app watch all kind of videos you want either gaming,dancing,some food stuff and also trending and viral things ✅✅",positive,positive
1352,🤑🤑😙😯😯🤓😮😎😮😮🙁☹️😯😯😯😮🤠🤠😮😮☹️☹️☹️😨😨😮☹️😮😋😋😊🤑😙😙😎😎🥵💋😽🙀💌💘🙀💋💋🙀👾😿😿🤖💋😽😽👽😽👻,positive,positive
1353,@manojchy152 Dayle 1 video oplode viwes no,negative,positive
1354,Lovely,positive,positive
1355,Good,negative,positive
1356,Says I'm not eligible to sight in,negative,negative
1357,I hate it but in I need to use but it annoys me 😡,negative,negative
1358,"I enjoy making videos and hosting Q&As. This app has been nothing short of awesome. While I wish I had more followers and better content, this app is amazing.",positive,positive
1359,I was having issues with my tiktok so I un installed it now I can't sign back in,negative,negative
1360,I love watching tiktoks and making them. And the algorithm shows me exactly what I want to see :),positive,positive
1361,I like this app especially when my videos blow up,positive,negative
1362,Rest passwrd,positive,neutral
1363,I love you,positive,positive
1364,Lovely,positive,positive
1365,Www,positive,negative
1366,"I stated using tiktok with my Galaxy Note 10 plus and never had any problems with the effects/filters. Now, I have the latest Galaxy 22 Ultra 5G and most of the effects/filter do not work. It gives me an error ""this effect doesn't work with this device"". I've cleared data, uninstalled and reinstalled the app, and still gives me the same error! How can I fix this?",negative,negative
1367,"Loved this app until it forced me to see captions. They're so distracting!!!!! Give us back the option, it was perfect to have the choice!",negative,neutral
1368,I love it.❤️,positive,positive
1369,Just love the vibe,positive,positive
1370,Ok talib Ali,neutral,positive
1371,"Coming back to leave another 1 star review ♡ This update is a lot more stupid than the last. The recording circle literally takes up half my screen so I can't actually see anything; stories are absolutely pointless for an app which is literally meant for short videos. Also, PLEASE remove the friends tab. There's no point in having it since all it shows are year old videos they posted, and the following tab is pretty much the exact same thing. Just change everything back to how it was. ♡",negative,negative
1372,Ilove you guys .😳😳😳💓💓💓💓💓💖💖💖🏟,negative,negative
1373,The best app ever can never get off of it lol,positive,negative
1374,Tiktok is a wonderful app but the inbox is so annoying now and I can't even message people anymore it's so annoying I've tried everything it's just not working. Please fix this - that_car...girl,negative,neutral
1375,ডিবজল,negative,positive
1376,Mr_arman_07_official,positive,positive
1377,Excellent app good work,neutral,positive
1378,Nice application 😄,neutral,positive
1379,Id grow,negative,positive
1380,I get to make videos and watch live streams it's wonderful,positive,positive
1381,"I really like tiktok im addicted to it,although i keep getting banned for no reason at all and others have been getting banned to so i think if its actually serious people should get banned otherwise quit banning people for no reason.",neutral,neutral
1382,Viral me video tiktok please,positive,positive
1383,Good apps,negative,positive
1384,Excellent..,positive,positive
1385,The best app I have ever had,positive,positive
1386,Very good,positive,positive
1387,wow amazing .i like it. All effects are available in this app,neutral,positive
1388,Good app (MD Sohel ),positive,positive
1389,🥰,neutral,positive
1390,I love how you are able to express yourself,positive,positive
1391,Wastes your time like Tik tok,negative,negative
1392,MdRifatAhmed,neutral,negative
1393,"Can't post funny videos without it violating or offending this generation. My video got removed because a woman fell off a zipline into water WOW, how offensive. But it's OK to try and make fun of disabled people which I've seen. Need to sort out there priorities on what content is actually suitable. Also won't tell you why your videos been taken off just that they don't agree with a video end of, even though that video was on for a month.",negative,negative
1394,👍👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🤞🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻🤞🏻,positive,positive
1395,"When there is things like Instagram, snap chat, and Facebook it is not the best",neutral,negative
1396,I m omi,positive,positive
1397,It's good but it won't let me use a lot of the filters,neutral,neutral
1398,Kial site app 😍,negative,positive
1399,Junk,neutral,positive
1400,Good app,positive,positive
1401,good platform,positive,positive
1402,Good,negative,positive
1403,Perfect funny videos 'great filters,positive,positive
1404,"""not intetested"" feature doesn't work and keeps giving me the same annoying song",negative,negative
1405,Ppeeeeeeeeeeee so great,negative,positive
1406,"I have been having issues when trying to upload my videos and upload rate is so slow now. Also my uploaded videos doesn't reflect on my ""following"" page.",negative,negative
1407,🤮🤢🤢🤮liammcguite67,negative,positive
1408,When tiktok unbanned it's features are changed first it give more money I withdraw 2000 from tiktok but now their is no any option of coin so it's for time pass now 😗,negative,negative
1409,Naic,positive,negative
1410,My tik tok qccount to grow,negative,positive
1411,Abdifitaah waaye and hamdi,negative,negative
1412,"The app itself isn't that bad, it's just the content creators",negative,neutral
1413,Tik Tok is love you very very nice ☺️👍 the best,positive,negative
1414,@editinqwithmeh,positive,positive
1415,It keeps me busy,negative,negative
1416,Nice to have this app,positive,positive
1417,Hi i love using tik tok but recently i updated it and i cant access my favorites could you fix this problem,negative,neutral
1418,"Since many days infact months I am not Able to watch live. I am soo disappointed😬😠 Whenever I click on live it stops working after a second and gives me message as ""server upgrading. Try later"" how to fix this problem",negative,neutral
1419,Nice,positive,positive
1420,Amreen,positive,negative
1421,Downloaded on new phone. Only see content that i am not interested in and nothing changes.,negative,negative
1422,Op,positive,negative
1423,All taim Aktib,positive,negative
1424,Cooi,positive,positive
1425,My all videos are no views and no likes plz help me,positive,negative
1426,Poop,negative,negative
1427,Good,positive,positive
1428,nc app,positive,positive
1429,PLEASE REMOVE THE COMMENTS THAT SAY CROP STORYTIME OR THE STUPID HERES THE RECIPE COMMENTS I HAVE BEEN HAVING MELTDOWNS BECAUSE OF THEM PLEEEEAAAAAASSSSSSEEEEE,negative,negative
1430,I love it 💖💖💖💖,positive,positive
1431,Asitha madushan,positive,negative
1432,It always have to update,negative,negative
1433,A1_app,positive,positive
1434,Not recommend this app it's a virus,negative,negative
1435,ITS BEING ABLE TO DO THINGS AND GET YOU OUT OF YOUR SHELF.,positive,negative
1436,I love tiktok i hate snack video and likee i like it so much😘😘😘,neutral,negative
1437,Onetiktok,negative,negative
1438,Liygor Uu,negative,positive
1439,"I hate the update it sucks and I can't even film a good video anymore if you want to do a transition and you stop filming it skips all the way to ""do you want to post this"" like let me film and decide when I am done stop picking for me",negative,negative
1440,So good this app is amazing every time I bored I go straight on this app 2 minutes later I'm not bored no more I love this app I'm on it all day and every night 😭😭🦋🦋🦋,positive,positive
